IntersectionName,IntervalStart,IntervalEnd,Turn,Bound,Direction,realcount,TurnRatio,Bearing,Numbering,OpenDriveFromID,OpenDriveToID,JunctionID_OpenDrive
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,SBU,S,U,0.0,0.0,202.48,20,441,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,WBR,W,R,1.0,0.003745318352059925,294.22,29,436,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,WBT,W,T,241.0,0.9026217228464419,294.22,29,436,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,WBL,W,L,25.0,0.09363295880149813,294.22,29,436,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,30600,31500,WBU,W,U,0.0,0.0,294.22,29,436,416,
0416) Shallowford Rd & Lifestyle Way,30600,31500,NBR,N,R,1.0,0.07692307692307693,24.39,2,432,395,
0416) Shallowford Rd & Lifestyle Way,30600,31500,NBT,N,T,1.0,0.07692307692307693,24.39,2,432,394,
0416) Shallowford Rd & Lifestyle Way,30600,31500,NBL,N,L,11.0,0.8461538461538461,24.39,2,432,392,
0416) Shallowford Rd & Lifestyle Way,30600,31500,NBU,N,U,0.0,0.0,24.39,2,432,393,
0416) Shallowford Rd & Lifestyle Way,30600,31500,EBR,E,R,12.0,0.044444444444444446,113.75,11,427,393,
0416) Shallowford Rd & Lifestyle Way,30600,31500,EBT,E,T,231.0,0.8555555555555555,113.75,11,427,395,
0416) Shallowford Rd & Lifestyle Way,30600,31500,EBL,E,L,27.0,0.1,113.75,11,427,394,
0416) Shallowford Rd & Lifestyle Way,30600,31500,EBU,E,U,0.0,0.0,113.75,11,427,392,
0416) Shallowford Rd & Lifestyle Way,30600,31500,SBR,S,R,20.0,0.8,204.06,20,433,392,
0416) Shallowford Rd & Lifestyle Way,30600,31500,SBT,S,T,4.0,0.16,204.06,20,433,393,
0416) Shallowford Rd & Lifestyle Way,30600,31500,SBL,S,L,1.0,0.04,204.06,20,433,395,
0416) Shallowford Rd & Lifestyle Way,30600,31500,SBU,S,U,0.0,0.0,204.06,20,433,394,
0416) Shallowford Rd & Lifestyle Way,30600,31500,WBR,W,R,4.0,0.014492753623188406,294.03,29,444,394,
0416) Shallowford Rd & Lifestyle Way,30600,31500,WBT,W,T,268.0,0.9710144927536232,294.03,29,444,392,
